fecha_consulta,origen,destino,region,fecha_vuelo,precio_min
2026-09-09 20:46:12.331065,NYC,FRA,Europa,2026-12-08,381
2026-09-09 20:46:15.794395,NYC,FRA,Europa,2027-01-07,364
2026-09-09 20:46:18.939932,NYC,IST,Europa,2026-10-09,551
2026-09-09 20:46:23.360711,NYC,IST,Europa,2026-11-08,476
2026-09-09 20:46:26.898674,NYC,IST,Europa,2026-12-08,369
2026-09-09 20:46:31.953349,NYC,IST,Europa,2027-01-07,390
2026-09-09 20:46:35.084879,NYC,ATH,Europa,2026-10-09,189
2026-09-09 20:46:38.452359,NYC,ATH,Europa,2026-11-08,345
2026-09-09 20:46:42.026292,NYC,ATH,Europa,2026-12-08,261
2026-09-09 20:46:45.213286,NYC,ATH,Europa,2027-01-07,364
2026-09-09 20:46:48.527731,NYC,DXB,Asia,2026-10-09,372
2026-09-09 20:46:53.364598,NYC,DXB,Asia,2026-11-08,441
2026-09-09 20:46:58.333185,NYC,DXB,Asia,2026-12-08,472
2026-09-09 20:47:03.414235,NYC,DXB,Asia,2027-01-07,372
2026-09-09 20:47:08.289478,NYC,TLV,Asia,2026-10-09,624
2026-09-09 20:47:11.720332,NYC,TLV,Asia,2026-11-08,567
2026-09-09 20:47:16.434636,NYC,TLV,Asia,2026-12-08,567
2026-09-09 20:47:21.308609,NYC,TLV,Asia,2027-01-07,695
2026-09-09 20:47:26.724411,NYC,DEL,Asia,2026-10-09,469
2026-09-09 20:47:32.451938,NYC,DEL,Asia,2026-11-08,492
2026-09-09 20:47:37.571858,NYC,DEL,Asia,2026-12-08,707
2026-09-09 20:47:42.802457,NYC,DEL,Asia,2027-01-07,456
2026-09-09 20:47:47.698626,NYC,BKK,Asia,2026-10-09,490
2026-09-09 20:47:52.947361,NYC,BKK,Asia,2026-11-08,411
2026-09-09 20:47:56.298236,NYC,BKK,Asia,2026-12-08,562
2026-09-09 20:48:01.633481,NYC,BKK,Asia,2027-01-07,485
2026-09-09 20:48:06.747949,NYC,SIN,Asia,2026-10-09,487
2026-09-09 20:48:12.314244,NYC,SIN,Asia,2026-11-08,440
2026-09-09 20:48:17.177579,NYC,SIN,Asia,2026-12-08,475
2026-09-09 20:48:21.999291,NYC,SIN,Asia,2027-01-07,409
2026-09-09 20:48:25.626328,NYC,HKG,Asia,2026-10-09,613
2026-09-09 20:48:29.145029,NYC,HKG,Asia,2026-11-08,491
2026-09-09 20:48:32.669229,NYC,HKG,Asia,2026-12-08,546
2026-09-09 20:48:40.863635,NYC,TYO,Asia,2026-10-09,678
2026-09-09 20:48:48.654729,NYC,TYO,Asia,2026-12-08,527
2026-09-09 20:49:01.004538,NYC,SEL,Asia,2026-11-08,524
2026-09-09 20:49:05.885051,NYC,SEL,Asia,2026-12-08,722
2026-09-09 20:49:09.502851,NYC,SEL,Asia,2027-01-07,603
2026-09-10 00:21:11.045094,BUE,NYC,América,2026-10-10,539
2026-09-10 00:21:15.259981,BUE,NYC,América,2026-11-09,868
2026-09-10 00:21:23.098231,BUE,NYC,América,2027-01-08,786
2026-09-10 00:21:26.833581,BUE,MIA,América,2026-10-10,336
2026-09-10 00:21:30.510686,BUE,MIA,América,2026-11-09,336
2026-09-10 00:21:34.918239,BUE,MIA,América,2026-12-09,335
2026-09-10 00:21:39.658976,BUE,MIA,América,2027-01-08,739
2026-09-10 00:21:44.174825,BUE,CUN,América,2026-10-10,485
2026-09-10 00:21:47.461834,BUE,CUN,América,2026-11-09,335
2026-09-10 00:21:50.565034,BUE,CUN,América,2026-12-09,335
2026-09-10 00:21:53.814790,BUE,CUN,América,2027-01-08,674
2026-09-10 00:21:58.322136,BUE,PUJ,América,2026-10-10,657
2026-09-10 00:22:02.483092,BUE,PUJ,América,2026-11-09,283
2026-09-10 00:22:06.778129,BUE,PUJ,América,2026-12-09,271
2026-09-10 00:22:12.277428,BUE,PUJ,América,2027-01-08,657
2026-09-10 00:22:17.082753,BUE,RIO,América,2026-10-10,293
2026-09-10 00:22:22.126307,BUE,RIO,América,2026-11-09,224
2026-09-10 00:22:27.479286,BUE,RIO,América,2026-12-09,224
2026-09-10 00:22:30.903989,BUE,RIO,América,2027-01-08,311
2026-09-10 00:22:34.901789,BUE,GRU,América,2026-10-10,223
2026-09-10 00:22:38.014270,BUE,GRU,América,2026-11-09,223
2026-09-10 00:22:41.149681,BUE,GRU,América,2026-12-09,223
2026-09-10 00:22:45.041062,BUE,GRU,América,2027-01-08,340
